trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
241,False,"{'a': 1, 'e': 0.08981529457224763}",30,12,34.78200336585712,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 1, 'e': 0.08892161745938634}",20,12,15.432759043605971,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 1, 'e': 0.08803683258237255}",20,16,8.248747566408296,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 1, 'e': 0.0871608514619813}",25,19,12.814629435096231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 1, 'e': 0.0862935864993705}",30,17,25.934975091216533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 1, 'e': 0.08543495096732123}",25,11,24.32059830452821,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 1, 'e': 0.08458485900156469}",20,3,34.60039848595917,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 1, 'e': 0.08374322559219596}",25,5,37.22775385575929,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 1, 'e': 0.08290996657517266}",25,10,28.704045100307237,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 1, 'e': 0.0820849986238988}",20,8,22.253522640506425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 1, 'e': 0.08126823924089167}",25,11,26.818609573661618,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 1, 'e': 0.08045960674953244}",20,10,22.0187592742101,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 1, 'e': 0.07965902028589801}",20,5,26.100251715950577,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 1, 'e': 0.07886639979067495}",30,18,20.255628622288015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 1, 'e': 0.07808166600115313}",25,0,34.372988924569,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
256,False,"{'a': 1, 'e': 0.07730474044329974}",20,3,30.75491828212537,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 1, 'e': 0.07653554542391151}",25,15,16.43038466403157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 1, 'e': 0.07577400402284548}",20,8,21.750607119996285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 1, 'e': 0.07502004008532698}",25,16,16.555217568326334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 1, 'e': 0.07427357821433388}",30,8,42.39765690352519,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 1, 'e': 0.0735345437630571}",25,13,22.475560766493402,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 1, 'e': 0.07280286282743559}",20,0,31.741155202262945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
263,False,"{'a': 1, 'e': 0.0720784622387661}",25,12,20.65285077855668,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 1, 'e': 0.07136126955638605}",25,19,9.112246260185184,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 1, 'e': 0.0706512130604296}",25,11,23.205276596685074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 1, 'e': 0.06994822174465536}",20,16,8.022836336946284,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 1, 'e': 0.069252225309346}",25,13,22.06903323448547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 1, 'e': 0.06856315415427791}",30,16,28.89467340086093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 1, 'e': 0.06788093937176144}",20,10,14.852407329704835,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 1, 'e': 0.06720551273974976}",35,17,33.59058129237665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 1, 'e': 0.06653680671501686}",20,8,23.866625700582365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 1, 'e': 0.06587475442640295}",20,5,26.33382683068765,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 1, 'e': 0.06521928966812753}",20,8,24.496587168861076,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 1, 'e': 0.06457034689316847}",25,0,41.57179357170002,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 1, 'e': 0.06392786120670757}",30,6,45.72464554967092,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 1, 'e': 0.0632917683596407}",25,13,23.25276186817966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
